filename,experiment_id,arm,dataset,backbone,optimizer_seed,pair_seed,config_path,acc_certain,acc_hybrid,bytes,sha256,in_github_release,release_asset,role
synccaps_ucf101_resnet_ptfz_official1_fc_B4_gram_seed1337.pt,ucf101_resnet_ptfz_official1_fc__B4_gram,B4_gram,ucf101,resnet,1337,0,configs/resnet18/ucf101_resnet_ptfz_official1_fc__B4_gram.json,69.31007137192704,68.88712661908538,3254135,1cb8b108167b2f9eca6cf84c1179d50958cf2a51db5bca7ac4c233197c48b16d,True,synccaps-checkpoints-resnet18.tar,control
synccaps_ucf101_resnet_ptfz_official1_fc_B4_gram_seed42.pt,ucf101_resnet_ptfz_official1_fc__B4_gram,B4_gram,ucf101,resnet,42,0,configs/resnet18/ucf101_resnet_ptfz_official1_fc__B4_gram.json,70.31456515992599,69.99735659529473,3254105,450d4708304e42439568bfa74c9d30fd27279652781d534e3fd074456efd77a8,True,synccaps-checkpoints-resnet18.tar,control
synccaps_ucf101_resnet_ptfz_official1_fc_B4_gram_seed7.pt,ucf101_resnet_ptfz_official1_fc__B4_gram,B4_gram,ucf101,resnet,7,0,configs/resnet18/ucf101_resnet_ptfz_official1_fc__B4_gram.json,70.65820777160984,70.81681205392546,3254090,c8b942af705bd0ef8b42fecaa6a831546b284bb03369411b0a7e027cced4e10d,True,synccaps-checkpoints-resnet18.tar,control
synccaps_ucf101_resnet_ptfz_official1_fc_B4_syncnorm_seed1337.pt,ucf101_resnet_ptfz_official1_fc__B4_syncnorm,B4_syncnorm,ucf101,resnet,1337,0,configs/resnet18/ucf101_resnet_ptfz_official1_fc__B4_syncnorm.json,70.49960348929422,70.68464181866244,3254259,3bf29aed19758e6260539c30a75d63d068b0dcc5a7179593a8f6672d159b18da,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_resnet_ptfz_official1_fc_B4_syncnorm_seed42.pt,ucf101_resnet_ptfz_official1_fc__B4_syncnorm,B4_syncnorm,ucf101,resnet,42,0,configs/resnet18/ucf101_resnet_ptfz_official1_fc__B4_syncnorm.json,70.07665873645254,70.10309278350515,3254229,3e917f5be133d761617f0538a44c0f8540ba7e2e7916afef8fd33b2c934e7d7a,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_resnet_ptfz_official1_fc_B4_syncnorm_seed7.pt,ucf101_resnet_ptfz_official1_fc__B4_syncnorm,B4_syncnorm,ucf101,resnet,7,0,configs/resnet18/ucf101_resnet_ptfz_official1_fc__B4_syncnorm.json,69.99735659529473,70.02379064234734,3254150,ffbcdaba3e77082a1adcc3e872c59b7bab8e6d127bed1664dadbf636e550a91b,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_resnet_ptfz_official1_noval_B4_gram_seed1337.pt,ucf101_resnet_ptfz_official1_noval__B4_gram,B4_gram,ucf101,resnet,1337,0,configs/resnet18/ucf101_resnet_ptfz_official1_noval__B4_gram.json,70.05022468939994,69.36293946603224,14437303,92f6900e4ed4155135a83a64709aa6745b0ec7019fe88492bf19c4413864cd9f,True,synccaps-checkpoints-resnet18.tar,control
synccaps_ucf101_resnet_ptfz_official1_noval_B4_gram_seed42.pt,ucf101_resnet_ptfz_official1_noval__B4_gram,B4_gram,ucf101,resnet,42,0,configs/resnet18/ucf101_resnet_ptfz_official1_noval__B4_gram.json,69.91805445413692,68.80782447792757,14437029,b28a13e4705ec93b785cc341e0757a6a0ddc272939fa43821af09fb2abeda9ed,True,synccaps-checkpoints-resnet18.tar,control
synccaps_ucf101_resnet_ptfz_official1_noval_B4_gram_seed7.pt,ucf101_resnet_ptfz_official1_noval__B4_gram,B4_gram,ucf101,resnet,7,0,configs/resnet18/ucf101_resnet_ptfz_official1_noval__B4_gram.json,69.7858842188739,69.46867565424266,14436924,266ef1dccdcf7d5568ab1548b408f978be4e6dde48b7e561b4ff35899199d5fc,True,synccaps-checkpoints-resnet18.tar,control
synccaps_ucf101_resnet_ptfz_official1_noval_fc_B0_linear_seed1337.pt,ucf101_resnet_ptfz_official1_noval_fc__B0_linear,B0_linear,ucf101,resnet,1337,0,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__B0_linear.json,65.90007930214115,60.71900607983082,3315725,67b5aa9726fd5ef71787649cb5e412fd72bc975d017f2041cb71e5559e642487,True,synccaps-checkpoints-resnet18.tar,headline
synccaps_ucf101_resnet_ptfz_official1_noval_fc_B0_linear_seed42.pt,ucf101_resnet_ptfz_official1_noval_fc__B0_linear,B0_linear,ucf101,resnet,42,0,configs/resnet18/ucf101_resnet_ptfz_official1_noval_fc__B0_linear.json,65.79434311393074,61.40629130319852,3315701,6a71e7a9e6993cbc3996ab63f4f4554c187e61abc6a1bf6a37fc580036fb61c3,True,synccaps-checkpoints-resnet18.tar,headline
